registration, trailer_type,year,built_for,model_no,chassis_number,wip,mtm_gcm,gvw_atm,tare,brake_valves_type,suspension_type_and_component_part_no,axle,rare_suspension,rare_axle,hub,bearing_inner,bearing_outer,seal,drum,shoe_kit,brake_size,brake_linning,brake_shoe_type,s_cam_bush_kit,s_cam_size_and_part_no,brake_booster_type_and_size,tyre_type_and_size,wheel_type_and_size,landing_legs_type_and_component_part_no,king_pin_type_and_serial_no,rubplate_type_and_component_no,tow_eye_type_and_component_no,draw_bar_type_and_component_no,air_tanks_size_and_type_and_part_no,hoist_type_and_part_no,suspension_cylinders_component_no,ballrace_type_and_part_no,fith_wheel_type_and_part_no,ramps_size_and_component_no,ramps_cylinders,widening_box_component_no,widening_box_cylinder,widening_wings_component_no,widening_wings_cylinder,gooseneck_component_no,gooseneck_cylinder,powerpack, draw_bar_bushes
,2R2 Transport & General,85,Bitumin distributors,MTE10/85,TTB8F,,,"6,000kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rebuilt  T&G TTB8F with tanner s cam 20"" axles",
,2A Pig Tilt Deck,85,CWEPB,MTE11/85,1T2A13,,,6000kg,1960kg,RE6 Bendix,"Walking Beam 48"" with 2x R5 bushes","15"" Tanner spoked 4-1/2 tonne single tyre ",,,6 Spoke MTE,30211,30208,AX4568,12-1/4 x 4,,"12-1/4 x 4""",TA5407,Tanner,,10 spline,Type 12/12,750 x 15 x 14ply,15 x 6.5 rim ,,,,75mm pintle weld in,,MTE Made,,,,,,,,,,,,,"Plant trailer steel deck load above the wheels with 5'6"" spring assisted ramps doughty pump",
82NSX,2A Pig Tilt Deck,85,Air Hire Centre,MTE12/85,10T2A16,,,6000kg,1960kg,RE6 Bendix,"Walking Beam 48""","15"" Tanner spoked 4-1/2 tonne single tyre ",,,6 Spoke MTE,30211,30208,AX4568,12-1/4 x 4,,"12-1/4 x 4""",TA5407,Tanner,,10 spline,Type 12/16,825 x 15 x 14ply,15 x 6.5 rim  ,,,,40mm,,MTE Made,,,,,,,,,,,,,  forklift transporter timber deck load between the wheels,
, ,85, ,MTE13/85, ,,, , , , , ,,, , ,  , ,  ,, , , ,, , , , ,,,, ,, ,,,,,,,,,,,,,  No 13 Not used,
,2A Pig Tilt Deck,85,Cable Price,MTE14/85,11T2A16,,,6000kg,1960kg,RE6 Bendix,"Walking Beam 48""","15"" Tanner spoked 4-1/2 tonne single tyre ",,,6 Spoke MTE,30211,30208,AX4568,12-1/4 x 4,,"12-1/4 x 4""",TA5407,Tanner,,10 spline,Type 12/16,825 x 15 x 14ply,15 x 6.5 rim ,,,,40mm,,MTE Made,,,,,,,,,,,,,  forklift transporter steel deck load between the wheels,
67NSX,3R4 Semi Tilt Deck (Mechanical Susp) - NZ,85,Kings Ready mix,MTE15/85,12T3A25,,,"20,000kg",,RE6 Bendix,Compensating Beam,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,, ,
76NSX,3R8 Parra Widener - NZ         (1st 3R8 Parra widener),85,Green & McCarhil,MTE16/85,1W10-14T3R8-80,,,"60,000kg",,RE6 Bendix,MTE  3R8 Hydraulic,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,,,,,,,,,, High tensile widener 3100-4260 wide  with fixed  neck ,
86NSX,2R8 Dolly ( Fixed Width) - NZ,85,Green & McCarhil,MTE17/85,2TB24,,,"24,000kg",,RE6 Bendix," RT6  Bush & Axle Beam 48""","15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,530 Davies,,,,,,,,,,
 ,2A Bitumen Semi Tanker - NZ,85,Waikato Bitumen,MTE18/85,17TR16000,,,"20,000kg",,PBR ,Transpro,"20"" Tanner ISO",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,11R22.5,22.5 x 8.25 rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"16000litre tank with 3"" brown pump and twin burner system",
,"2A 10,000l Bitumen Dog - NZ",85,Waikato Bitumen,MTE19/85,18TR10000L,,,"14,000kg",5210kg,PBR ,,"20"" Tanner ISO",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,11R22.5,22.5 x 8.25 rim,,,,40mm,,MTE Made,,,,HE12/1000,,,,,,,,,Dog bitumen tanker with burner no Pump,
88NSM,3A House Trailer,85,A.V. Martyn & Sons,MTE20/85,6T3A36-60/36-76,,,"44,000kg",8800kg,RE6 Bendix, Hydraulic Winged Suspension,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,, 1st Australian ' MTE House  Semi Trailer   with parallelogram neck,
93NSX,2A Pig Tilt Deck - NZ,85,Paton and Sons,MTE21/85,24T2A20,,,"16,000kg",,RE6 Bendix,"Walking Beam 60""","15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,,,,5 tonne C Hook coupling,,MTE Made,,,,,,,,,,,,,5 tonne C Hook coupling,
2PMM,3A Bitumen Tanker - NZ,85,Bitumix,MTE22/85,18RR22000,,,"20,000kg",,Westinghouse, Transpro Tri axle 8 leaf 1800 spaced,"20""  TN   Rockwell",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,,"22000litre tank with 3"" Ebsary and single burner system",
59PJJ,3A Bitumen Tanker - NZ,85,Bitumix,MTE23/85,19RR22000,,,"20,000kg",,Westinghouse, Transpro Tri axle 8 leaf 1800 spaced,"20""  TN   Rockwell",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,,"22000litre tank with 3"" Ebsary and single burner system",
 ,3A Bitumen Tanker - NZ,85,Bitumix,MTE24/85,20RR22000,,,"20,000kg",,Westinghouse, Transpro Tri axle 8 leaf 1800 spaced,"20""  TN   Rockwell",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,,"22000litre tank with 3"" Ebsary and single burner system",
47PHL,3A Bitumen Tanker - NZ,85,Bitumix,MTE25/85,21RR22000,,,"30,000kg",,Westinghouse, Transpro Tri axle 8 leaf 1800 spaced,"20""  TN   Rockwell",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,,"22000litre tank with 3"" Ebsary and single burner system Sent to Inroads Australia",
48PHL,"2A 24' 0"" Semi Ribbed Tipper - NZ",85,Green & McCarhil,MTE26/85,6TRMS24,,,"20,000kg",5240kg,PBR , Transpro Tri axle 8 leaf 1240 spaced,"20"" Tanner ISO",,,Ten Stud English,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,11R22.5,22.5 x 8.25 rim,,"2""",,,,MTE Made,70SU Edbro,,,,,,,,,,,," 24'0"" tipper becase of 2nd to last axle measurements",
49PHL,4A House Trailer - NZ,85,Britton House Removals,MTE27/85,8T4A39-66/45-82,,,"30,000kg", ,RE6 Bendix, Hydraulic Winged Suspension,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,, Special vickers air/hyd  valves only one to be built,
 ,3R4 Semi Tilt Deck (Mechanical Susp),85,Kings Ready mix,MTE28/85,13T3A25,,,"20,000kg",,RE6 Bendix,Compensating Beam,"15"" Spicer",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 7""",4692 ,4692DFC,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,, ,
,3A Dog Tipper,85,G.A. Renner,MTE29/85,5IR318,,,"20,000kg",,Westinghouse, Transpro Tri axle 8 leaf 1240 spaced,"20"" Ingersol",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,11R22.5,22.5 x 8.25 rim,,,,,,Westinghouse,,,,HE12/1000,,,,,,,,,,
,2A Semi Tilt Deck (Beam Susp),85,Taylor Contracting,MTE30/85,25T2A24,,,"18,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"made with 24'0"" tilting botom deck with no  top deck with ramps 5'6""",
7PUH,Unknown rebuild,85,Emolium,MTE31/85,EMO1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8PUH,2A Pig Tilt Deck - NZ,85,Takapuna City Council,MTE32/85,12T2A16,,,6000kg,1960kg,RE6 Bendix,"Walking Beam 48""","15"" Tanner spoked 4-1/2 tonne single tyre ",,,6 Spoke MTE,30211,30208,AX4568,12-1/4 x 4,,"12-1/4 x 4""",TA5407,Tanner,,10 spline,Type 12/16,825 x 15 x 14ply,15 x 6.5 rim ,,,,40mm,,MTE Made,,,,,,,,,,,,,  forklift transporter steel deck load between the wheels,
 ,3A House Trailer - Aust,85,Active House Removals Australia,MTE33/85,9T3A36-60/36-76,,,"22,000kg", ,RE6 Bendix, Hydraulic Winged Suspension,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,, 1st Australian ' MTE House  Semi Trailer   with parallelogram neck,
26PUH,"2A 24' 0"" Semi Ribbed Tipper - NZ",85,Hobsonvile Contractors,MTE34/85,7TRMS24,,,"20,000kg", ,PBR , Transpro Tri axle 8 leaf 1240 spaced,"20"" Tanner ISO",,,Ten Stud English,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,11R22.5,22.5 x 8.25 rim,,"2""",,,,MTE Made,70SU Edbro,,,,,,,,,,,," 24'0"" tipper becase of 2nd to last axle measurements",
,2A Semi Tilt Deck (Beam Susp),85,Mungatu blocks,MTE35/85,26T2A24,,,"18,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"made with 24'0"" tilting botom deck with top deck",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model MTE3-24KL,3A Bitumen Tanker - Aust,86,Bitupave Australia,MTE1/86,11-3TS-R24,,,"35,000kg",,Westinghouse9005CS,Transpro 9052SS,"20"" Tanner ISO      ADR 9014FB",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,15R22.5 Super singles,22.5   rim,,"2""",,,,Westinghouse, ,,,,,,,,,,,,"24000litre tank with 3"" Ebsary and single burner system",
,3FTLL - Flat Top Low Loader - Aust,86,Bitupave Australia,MTE2/86,5T3FTLL,,,"22,000kg","5,410kg",Westinghouse 6358CS,"Transpro, Underslung rear, Over front","15"" Ingersol  3 spoked 6378FB",,,Spoked,"HM218248, HM218210",212049 -212011,CR46305,63637 Webb,,"12-1/4 x 7-1/2""",4591,E-2394,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 rim,, ,,40mm,,Westinghouse,,,,HE12/1000,,,,,,,,,Exported to Australia,
 ,3R4 Hydraulic Suspension - NZ,86,M.C.Burke,MTE3/86,10TH3022,,,"35,000kg", ,RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,"1800 axle spacing 30"" chassis  RT6 rubber bushed",
 ,3A House Trailer - NZ,86,Haines House Removals  ,MTE4/86,10T3A36-60/36-76,,,"22,000kg", ,RE6 Bendix, Hydraulic Winged Suspension,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,, 1st   MTE House Trailer to Haines,
92PUH,2A Pig Tilt Deck - NZ,86,Ministry of works,MTE5/86,25T2A18,,,"12,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 rim,,,,75mm Pintle,,MTE Made,,,,,,,,,,,,,"with 5'6"" spring assisted ramps and Doughty hand pump",
90PUH,2A Pig Tilt Deck - NZ,86,Ministry of Works,MTE6/86,26T2A20,,,"16,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 rim,,,,75mm Pintle,,MTE Made,,,,,,,,,,,,,"with 5'6"" spring assisted ramps and Doughty hand pump",
91PUH,2A Pig Tilt Deck - NZ,86,Ministry of Works,MTE7/86,27T2A20,,,"15,000kg",,RE6 Bendix,"Walking Beam 48""","15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24/24,825 x 15 x 14ply,15 x 6.5 rim,,,,75mm Pintle,,MTE Made,,,,,,,,,,,,,"with 5'6"" spring assisted ramps and Doughty hand pump",
5PUI,3R4 Semi Tiltdeck (Hyd Susp with R5) - NZ,86,A.F.Porter,MTE8/86,2 TH3ATD27,,,"22,500kg","7,600kg",RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made,,,,,,,,,,,,,"3 Axle tilt deck with 1800mm axle spacing and 30"" deep chassis with top deck",
6PUI,3R4 Semi Tiltdeck (Hyd Susp with R5) - NZ,86,Hobsonville Contractors,MTE9/86,3 TH3ATD27,,,"30,000kg","7,600kg",RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made,,,,,,,,,,,,,"3 Axle tilt deck with 1800mm axle spacing and 30"" deep chassis with top deck",
21PUI,3A Bitumen Tanker - NZ,86,McLoughlin Holdings,MTE10/86,23TR24000,,,"20,000kg",,PBR ,Transpro,"20"" Tanner ISO",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,11R22.5,22.5 x 8.25 rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"24000litre tank with 3"" Ebsaray pump and single burner system",
, ,86, ,MTE11/86, ,,, ,, , , ,,, , , , , ,, , , ,, , , , ,, ,,,, ,,,,,,,,,,,,, ,
,3A Boat Transporter,86,Boat Haulage,MTE12/86,1T3AX10-12.5,,,"25,000kg",,RE6 Bendix,MTE 3R4 short Hydraulic deep Beam,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,750 x 15 x 16ply,15 x 6.5 Rim,,"2""",,,,MTE Made,,,,,,,,,,,,,"3 Axle  with 1800mm axle spacing and 30"" deep chassis with top deck and parralelogram",
40PUI,2A Pig Tilt Deck,86,Wooler and muir,MTE14/86,28T2A20,,,"15,000kg",,RE6 Bendix,"Walking Beam 48""",6 stud T&G axles hydraulic brakes,,,,, , , ,, ,,,,,,825 x 15 x 14ply,15 x 6.5 rim,,,,75mm Pintle,,,,,,,,,,,,,,,Rebuilt Ex T&General,
,1A Van Semi Trailer - NZ,86,Waikato Hospital Board,MTE15/86,1VBTT36,,,"20,000kg",4780kg,PBR ,Transpro,"20"" Tanner ISO",,,Ten stud,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,11R22.5,22.5 x 8.25 rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,,
,1A Van Semi Trailer - NZ,86,Waikato Hospital Board,MTE16/86,2VBTT36,,,"20,000kg",4780kg,PBR ,Transpro,"20"" Tanner ISO",,,Ten stud,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/24,11R22.5,22.5 x 8.25 rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,,
 ,2A Pig Tilt Deck,86,Air hire Center,MTE17/86,12T2A16,,,6000kg,1960kg,RE6 Bendix,"Walking Beam 48""","15"" Tanner spoked 4-1/2 tonne single tyre ",,,6 Spoke MTE,30211,30208,AX4568,12-1/4 x 4,,"12-1/4 x 4""",TA5407,Tanner,,10 spline,Type 12/16,825 x 15 x 14ply,15 x 6.5 rim ,,,,40mm,,MTE Made,,,,,,,,,,,,,  forklift transporter steel deck load between the wheels,
 ,3R4 Hydraulic Suspension,86,Jackson Piling,MTE18/86,1TH3AHR27,,,"25,000kg", ,RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,"1800 axle spacing 30"" chassis  RT6 rubber bushed  Full Weight Hydraulic Dove Tail ",
 ,3A House Trailer,86,MacKay house removals,MTE19/86,10T3A36-60/36-76,,,"22,000kg",8800kg,RE6 Bendix, Hydraulic Winged Suspension,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,1000 x 15 x 14ply,15 x 6.5 ,,"2""",,,,MTE Made, ,,,,,,,,,,,,"  Australian ' MTE House  Semi Trailer   with parallelogram neck 6"" Double acting Susp cyl",
 ,3R4 Semi Tiltdeck (Hyd Susp with R5) - NZ,86,Waikato Heavy Haulage,MTE20/86,4TH3ATD27,,,"22,500kg","7,600kg",RE6 Bendix,MTE 3R4 Hydraulic deep Beam,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made,,,,,,,,,,,,,"3 Axle tilt deck with 1800mm axle spacing and 30"" deep chassis with top deck",
 ,2R8 Dolly ( Fixed Width) - NZ,86,Waikato Heavy Haulage,MTE21/86,3TB24,,,"24,000kg",,RE6 Bendix," RT6  Bush & Axle Beam 48""","15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,530 Davies,,,,,,,,,,
Model1RT10000D,"2A 10,000l Bitumen Dog - Aust",86,Bitupave Australia,MTE22/86,19RT10000L,,,"17,000kg",5210kg,Westinghouse,,"20"" Rockwell Spoked",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,11R22.5,22.5 x 8.25 rim,,,,40mm,,Westinghouse,,,,HE12/1000,,,,,,,,,Dog bitumen tanker with burner no Pump,
,2A Pig Tilt Deck - NZ,86,Tauranga City Council,MTE23/86,29T2A20,,,"15,000kg",2790kg,RE6 Bendix,"Walking Beam 48""","15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24,825 x 15 x 14ply,15 x 6.5 rim,,,,5 tonne C Hook coupling,,MTE Made,,,,,,,,,,,,,5 tonne C Hook coupling,
,2A Pig Tilt Deck - NZ,86,Teawamutu Electric Power Board,MTE24/86,2T2A13,,,6000kg,1760kg,RE6 Bendix,"Walking Beam 48"" with 2x R5 bushes","15"" Tanner spoked 4-1/2 tonne single tyre ",,,6 Spoke MTE,30211,30208,AX4568,12-1/4 x 4,,"12-1/4 x 4""",TA5407,Tanner,,10 spline,Type 12/12,750 x 15 x 14ply,15 x 6.5 rim ,,,,75mm pintle weld in,,MTE Made,,,,,,,,,,,,,"Plant trailer steel deck load above the wheels with 5'6"" spring assisted ramps doughty pump",
71QDP,3A Bitumen Tanker - NZ,86,Emoleum,MTE25/86,24RT24000,,,"20,000kg",,Westinghouse,,"20"" Rockwell Spoked",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,11R22.5,22.5 x 8.25 rim,,"2""",,,,Westinghouse,,,,,,,,,,,,, 24000litre semi bitumen tanker single exaust 1 burner,
27QEN,3R8 Transporter - NZ,86,A.F.Porter,MTE26/86,10T84631,,,"60,000kg",,RE6 Bendix,MTE Hydraulic,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,,,,,,,,,,Mild steel with Wedge pivot neck,
 ,3R8 Parra widener,86,Richards Heavy Haulage,MTE27/86,2W10-14T3R8-80,,,"60,000kg",,RE6 Bendix,MTE  3R8 Hydraulic,"15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,,,,,,,,,, High tensile widener 3100-4260 wide  with fixed  neck ,
 ,2R8 Dolly ( Fixed Width),86,Richards Heavy Haulage,MTE28/86,3TB24,,,"24,000kg",,RE6 Bendix," RT6  Bush & Axle Beam 48""","15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,825 x 15 x 14ply,15 x 6.5 rim,,"3-1/2""",,,,MTE Made,,,,530 Davies,,,,,,,,,,
Model MTE3-24KL,3A Bitumen Tanker - Aust,86,Grey Bros  Australia,MTE29/86,123PSR26,,,"35,000kg",,Westinghouse9027/03CS,Fruehauf 9053/01SS,"20"" Propar      ADR 9044/1FB",,,3 Spoke ,"HM218248, HM218240","HM212049, HM212011",CR46304,,,"16-1/2"" x 7""",4515,,,10 spline,Type 24/30,15R22.5 Super singles,22.5   rim,,"2""",,,,Westinghouse, ,,,,,,,,,,,,"24000litre tank with 3"" Ebsary and single burner system",
04713,2A Semi Tilt Deck (Beam Susp) - NZ,86,Hire Pool,MTE29/86,29T2A20,,,"16,000kg",4150kg,RE6 Bendix,"Walking Beam 42""","15"" Tanner 3 spoked",,,3 Spoke MTE,"HM218248, HM218210",212049 -011,CR40133,63637 Shortened,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 20,750 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"made with 26'0"" tilting botom deck with top deck 5HP Robin engine 8'0"" ramps",
 ,3R4 Semi Tiltdeck (Hyd Susp with R5) - NZ,86,Swap Contractors,MTE30/86,5IH3ATD27,,,"22,500kg","7,600kg",RE6 Bendix,"Walking Beam 48""","15"" Ingersol  3 spoked",,,3 Spoke,"HM218248, HM218210","H212749, KJH212710",CR46305,,,"12-1/4 x 7-1/2""",4591,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made, ,,,,,,,,,,,,"3 Axle tilt deck with 1800mm axle spacing and 30"" deep chassis with top deck",
 ,3R4 Semi LowLoader (Mechanical Susp) - NZ,86,NZED,MTE31/86,21RC3A25,,,"30,000kg",6330kg,RE6 Bendix,Compensating Beam,"15"" Ruber Owen Rockwell",,,#VALUE!,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,"54"" goose neck height 33"" deck height  RT6 ruber bushes with BA6969 &BA6664 ",
